,medication,rate,comment,drug,illness
544,Entyvio (vedolizumab) for Ulcerative Colitis,10.0,30 years of ulcerative colitis. After just 2 months I was symptom free and last colonoscopy I was told my colon was fine. Gave me my life back.,Entyvio (vedolizumab) , Ulcerative Colitis
545,Entyvio (vedolizumab) for Ulcerative Colitis,4.0,5 doses of Entyvio...the exhaustion has completely wrecked my life. Seeing some improvement but not enough to continue with the medication.,Entyvio (vedolizumab) , Ulcerative Colitis
546,Entyvio (vedolizumab) for Ulcerative Colitis,10.0,"Entyvio has been miraculous. Very close to getting my colon taken out, we decided to try Entyvio. After using Remicade, Humira and many other options, it's the only thing that's worked for me.",Entyvio (vedolizumab) , Ulcerative Colitis
547,Entyvio (vedolizumab) for Crohn's Disease,1.0,My husband took this drug a couple years ago for Crohn's and it caused him to have a stroke. He is lucky to be alive but would never recommend this drug to anyone.,Entyvio (vedolizumab) , Crohn's Disease
548,Entyvio (vedolizumab) for Ulcerative Colitis,5.0,"Entyvio works but it wears off after 3 weeks. It is 8 weeks between the IVs.
By 5 weeks, I am back to passing mush and having accidents. This is not acceptable for a $40K drug.",Entyvio (vedolizumab) , Ulcerative Colitis
549,Entyvio (vedolizumab) for Ulcerative Colitis,1.0,I stopped seeing positive results after the loading doses and noticed an increase in symptoms after each subsequent infusion.,Entyvio (vedolizumab) , Ulcerative Colitis
550,Entyvio (vedolizumab) for Crohn's Disease,10.0,"I was nervous to try something other than Remicade, but since the antibodies for Remicade were increasing I had to try something.  This drug has been a good substitute with no noticeable side effects.",Entyvio (vedolizumab) , Crohn's Disease
551,"Entyvio (vedolizumab) for Crohn's Disease, Maintenance",1.0,Side effects of Enyyvio is extreme fatigue. Will not get another one.,Entyvio (vedolizumab) ," Crohn's Disease, Maintenance"
552,Entyvio (vedolizumab) for Ulcerative Colitis,8.0,Entyvio has been life changing for me. I have been dealing with UC for 18 years. Entyvio has worked better than any other treatments I have tried and I have had no side effects.,Entyvio (vedolizumab) , Ulcerative Colitis
553,Entyvio (vedolizumab) for Crohn's Disease,1.0,"Flushing similar to hot flashes, nausea, severe headaches/migraines, increased diarrhea the day of infusion for up to two weeks after.",Entyvio (vedolizumab) , Crohn's Disease
554,Entyvio (vedolizumab) for Ulcerative Colitis,1.0,It worked for a year.  Now I'm worse,Entyvio (vedolizumab) , Ulcerative Colitis
555,Entyvio (vedolizumab) for Ulcerative Colitis,2.0,"Very bad side effects and no remission, it makes me very tired and  have a fever every 2 weeks",Entyvio (vedolizumab) , Ulcerative Colitis
556,Entyvio (vedolizumab) for Ulcerative Colitis,9.0,"On this for 6 months now, and I've been in remission for the last 3 months.",Entyvio (vedolizumab) , Ulcerative Colitis
557,Entyvio (vedolizumab) for Crohn's Disease,4.0,"bowel control increased to approximately 60%

side effects: runny nose, increased mucus, cough",Entyvio (vedolizumab) , Crohn's Disease
558,Entyvio (vedolizumab) for Crohn's Disease,3.0,"Stayed on it for over a year. Took in combination with Entocort. Saw little to no improvement. Gave significant side effects such as flushing, fevers, nausea, chills, severe migraines etc.",Entyvio (vedolizumab) , Crohn's Disease
559,"Entyvio (vedolizumab) for Crohn's Disease, Maintenance",8.0,Low back pain.,Entyvio (vedolizumab) ," Crohn's Disease, Maintenance"
560,Stelara (ustekinumab) for Crohn's Disease,9.0,"I had crohn's for 30 years been on loads different treatment, loads hospital stays  but after 4th injection my stomach is now great!!   No joint muscle pain more energy. Walk my dog miles everyday over forest .. it’s miracle !!.. so happy ",Stelara (ustekinumab) , Crohn's Disease
561,Stelara (ustekinumab) for Crohn's Disease,8.0,"I am going into my 8th week post my initial IV infusion on Stelara and so far so good. I recently got diagnosed with small bowel fistulizing Crohns and my GI doctor and I decided that Stelara would be the best treatment option for me before trying any other option.  I experienced a decrease in abdominal cramping immediately after the initial treatment but the other symptoms persisted. At the 6 week mark all my Crohns symptoms decreased significantly. My appetite is back and I am putting on some weight, and I am having normal bowel movements. My chronic eye inflammation has also significantly decreased which makes me suspect that it is indeed Crohns related. I am only in the beginning stages of treatment but the impressive results makes me so hopeful and honestly has made me forget that I had Crohn's to begin with. No negative side effects so far but I did notice it has taken me way longer to get over a cold,  but nothing other than that. Praying that this continues to work for me!",Stelara (ustekinumab) , Crohn's Disease
563,Stelara (ustekinumab) for Crohn's Disease,10.0,"Amazing drug that has put my Crohn's into remission!
Humira, Remicade, Cimzia, Entyvio, 6mp, Lialda, all failed to work for any period of time. I have Fistulizing Crohn's and had 3 feet of resection 2 years ago. Two years on Stelara and I have my life back. I also changed my diet to the Mediteranean, avoiding simple sugars and eating only healthy food. Changing the gut microbiome along with finding the right medicine is key to controlling Crohn's. Much research now is pointing to the role of healthy gut microbiota. Stelara is so simple to inject with it's tiny syringe! Lower risk of serious side effects than other medicines in it's class! Amazing!",Stelara (ustekinumab) , Crohn's Disease
564,Stelara (ustekinumab) for Crohn's Disease,8.0,"I'm a Crohns survivor for 44 yrs. Tried all the old meds some new. Remicade worked best for 3 yrs and 6 MP for 4 yrs. Humira worked for 9 yrs but all symptoms returned. Stelara was my golden hope. First 8 months..nothing!
Now one year after initial IV infusion...much better results...almost too good. Constipation is my norm. Painful gas constantly...bloating..exhaustion...and a simple head cold took forever to leave.
Not sure I will continue this. Body aches and joint pain much worse. My main issues are constipation and exhaustion.
I'd rather have diarrhea and a bit more energy. Very disappointed! Good luck Crohnies!!",Stelara (ustekinumab) , Crohn's Disease
565,Stelara (ustekinumab) for Crohn's Disease,8.0,"I was diagnosed with Crohn's Disease in 1995, although I have been fighting with a bad stomach much longer.
I have had 4 feet of my intestines removed through 4 different resections. ( usually 1 every 5 years.) I have been on Cimzia, Humira, steroids and lialda. I started Stelara in the summer of 2017, It stopped me from throwing up almost every time I ate, I still get cramping, but not nearly as painful as I did before.  I am putting on some weight, thanks to some help. I remain hopeful that Stelara will continue to help me fight this crappy disease. I hope it helps all who take it, until a cure can be found.  Love",Stelara (ustekinumab) , Crohn's Disease
566,Stelara (ustekinumab) for Crohn's Disease,10.0,"I have Crohn's Disease and tried three different medications and broke out with Psoriasis from head to toe.  Lost my hair and the ability to walk faster than a snail because my feet swelled up.  Since Stelara, I have lost over 60 lbs, Psoriasis completely cleared, hair growing back.  I exercise at least 3-4 times a week and feel wonderful.  I think Stelara helped my digestive system and now everything is working.  Biggest problem with Stelara is, now I have to get a new wardrobe.",Stelara (ustekinumab) , Crohn's Disease
567,Stelara (ustekinumab) for Ulcerative Colitis,10.0,"All I can say is this drug has been a life saver. If you are reading this, you’ve probably already tried other medications by now. For me, initially I tried Remacaid. After a few infusions, no success. Then I tried Entyvio. Same result. Getting very discouraged, I now tried Xeljanz. No improvement at all. This was all over a year and a half. I was starting to come to the realization that surgery was my only option. Then my Gastroenterolgist suggested Stelara which although known to be treated for rheumatoid arthritis, recent studies have shown success with ulcerative colitis. After my first treatment, I started seeing my symptoms improving. After my second treatment I was seeing drastic changes to point where my bowel movements were down to 2-3x per day, down from 10-15. Today, I can proudly say I am in remission and am leading a normal life, back to a regular diet and normal bowel movements. I can honestly say I owe my life to this drug and am thankful every day for it.",Stelara (ustekinumab) , Ulcerative Colitis
569,Stelara (ustekinumab) for Crohn's Disease,,Been on Stelara for a year now. Have seen relief of symptoms but meds do not stay in my body. We are now dosing every 4 weeks starting this month.  I’m concerned about the long term effects of taking this medicine. Over these past 6 years I have been on 5 different biologics and none have helped me so far.,Stelara (ustekinumab) , Crohn's Disease
570,Stelara (ustekinumab) for Crohn's Disease,9.0,"I was diagnosed with Ulerative Colitis in 2006, but did not start biologics until 2017-2018. Started with Humira and found that I was a nonresponder.  For the rest of 2018, and into 2019, I tried other meds and battled with my insurance on which medicine is covered based on their formulas. During those times I was not responding to anything, developed fistulas, and was found to have my UC progress to Crohn’s (or I may have had Crohn’s all along). I started taking Stelara and I feel great. My symptoms have improved to where I don’t think about them. I have my life back. I do take longer to get over respiratory infections and do have some joint pain, but I did also before Stelara so nothing new there. The one side effect I noticed is ringing in the ears sometimes. Stelara has changed my life.",Stelara (ustekinumab) , Crohn's Disease
571,Stelara (ustekinumab) for Crohn's Disease,9.0,"I am 55 and was officially diagnosed with Crohn’s about 10 years ago after many tests and misdiagnoses.  I am convinced I’ve had it for probably 20 years. I tried Humira, Entivio and Stelara. The first two caused significant joint pain and brought no improvement to my Crohn’s. I started Stelara 10 months ago and am now in remission for the first time since my diagnosis.  No significant side effects other than some fatigue the day of and day after the injection. Very happy with this medication. Easy to use and only once every 8 weeks. Good luck to all those searching for their own ‘right’  medication. Stick with it and don’t lose hope!",Stelara (ustekinumab) , Crohn's Disease
572,Stelara (ustekinumab) for Crohn's Disease,8.0,"After 41 yrs of Crohn's & being non responsive to all treatments, including biologics, I've been on Stelara now for 16 weeks, & I'm starting to see a real difference !! I was reluctant to believe that it would work but, I'm ecstatic that something may actually turn things around for me. Best yet, NO Side Effects !! ",Stelara (ustekinumab) , Crohn's Disease
573,Stelara (ustekinumab) for Crohn's Disease,8.0,"Stelara's been a great for me. I'm 64, have had Crohn's for 50 years and undiagnosed for 20 years until my mid-30's. I'm now in the best shape I've been in decades--no cramping pain for 3 years since starting injections. Been biking 30 miles a week, playing flag football and basketball, working with weights and a trainer 3x weekly. No side effects--yay!",Stelara (ustekinumab) , Crohn's Disease
575,Stelara (ustekinumab) for Crohn's Disease,7.0,"4 weeks after my initial loading dose my Crohn's is already much better, however the fatigue it is almost too much to bear. Despite having Crohn's disease I can usually get through the day and be productive. But on this drug I don't want to get out of bed. ",Stelara (ustekinumab) , Crohn's Disease
576,Stelara (ustekinumab) for Crohn's Disease,,"I am worse on Stelera then I have ever been, I'm on it for Crohn's.
Been hospitalized more now then before!!!
I have had something going on in my stomach since I was 10 years old.
 I've been embarrassed, ashamed, frustrated, and exhausted. 
I am 55 years old.
I have had 2 surgery's which I am blessed cause I know there are many that have many more. A million colonoscopys. 
So Many perceptions.
All I want is some normalcy in my Life.
I've used three doses so far... Done with it!!!",Stelara (ustekinumab) , Crohn's Disease
579,Stelara (ustekinumab) for Crohn's Disease,,Stelara has worked fantastically for me where Humira was a failure.  I found that the biweekly Humira shots were not enough to control symptoms but the initial 8 week infusion of Stelara has been great.,Stelara (ustekinumab) , Crohn's Disease
580,Stelara (ustekinumab) for Crohn's Disease,5.0,"Stelara was effective in the sense that it quickly healed my colon that had Crohn's disease. I would be thrilled except that after a few doses I developed horrible anxiety/depression, tinnitus and headaches. I have been on other biologics without these issues. I did not feel like myself anymore, so I chose to stop it because the negative outweighed the positive. Everyone responds differently.",Stelara (ustekinumab) , Crohn's Disease
584,Stelara (ustekinumab) for Crohn's Disease,5.0,"Just started stelara,  I can tell I'm very tired and it gives me a little tummy pain and sore throat. I'm bloated but always have been on and off.  Harder stools at times constipated.  I've had 3 bowel rejections and now have 2 fistulas I'm praying I can get rid of my second  1 being on stelera. I'm still having a few flare ups with fistulas but hope I will work yet just started. I'm going to ear nose and throat doctor tomorrow  I've had ear pain inner ear and headaches and not sure if any is related to stelara it started at same time and hurts more a bit now but just had an injection 2.5 weeks ago.  I'll keep everyone posted! HAS anyone noticed eating issues or headaches sore throat and coughing up a little phlegm?",Stelara (ustekinumab) , Crohn's Disease
588,Stelara (ustekinumab) for Crohn's Disease,,"I have recently had my second bowel resection for Crohn's and today have started my first infusion of Stelara.  No other drug has helped unfortunately.  Chronic constipation, bloating and an inability to digest or process food has left me not really eating at all for the past 2 years.  I am hopefully this drug will give me a quality of life again but am also aware the side effects may become an issue.  The depression side of things may be interesting as I am bipolar...hopefully I'm covered there..Good luck to us all on our journey.",Stelara (ustekinumab) , Crohn's Disease
597,Stelara (ustekinumab) for Crohn's Disease,10.0,"Stelara put my severe Crohn’s disease into remission and it has stayed that way for the past 6 months. The shots don’t hurt very bad and it’s only 1 every 8 weeks for me! Side effects I’ve noticed: headaches, fatigue, groggy day after shot.",Stelara (ustekinumab) , Crohn's Disease
602,Stelara (ustekinumab) for Crohn's Disease,3.0,"I've been on Stelara for Crohn's for over 10 weeks with poor results. I am losing the remission created by remicade. Stelera caused me exhaustion and I have stomach aches, sensitivity and bowel struggles.",Stelara (ustekinumab) , Crohn's Disease
603,Stelara (ustekinumab) for Crohn's Disease,4.0,"I am on week 2 on the initial Stelara IV infusion. So far, no side affects! (As I had with Humira, Cimzia, and Remicade). I have noticed that I am able to tolerate milk a bit more than I was able to prior. Not as much gas or abdominal cramping. Looking forward, and hoping the medicine will help me achieve remission!",Stelara (ustekinumab) , Crohn's Disease
609,Stelara (ustekinumab) for Crohn's Disease,6.0,I just started Stelara to treat Crohns.  It's been a rough year with 4 hospitalizations and constant illness related to the disease.  I'm so hopeful that Stelara will allow me to stay off the oral steroids.  The steroids are super effective but of course horrible side effects.  I've gained so much weight I don't recognize myself.  I've only been on Stelara a week so too soon to tell but I do notice I'm sleeping a lot more than usual and I've been noticing a slight soreness in my throat.  As I've been reading the reviews I noticed a lot of people mention depression which is concerning as I struggle with depression anyway.  I'm hopeful Stelara may be the drug that finally works for me.    Good luck to everyone in your healing journey.,Stelara (ustekinumab) , Crohn's Disease
611,Stelara (ustekinumab) for Crohn's Disease,2.0,"I was diagnosed 20 years ago and had a right hemi colectomy 15 years ago, Humira stopped working for me so I was changed to Stelara 6 months ago.
First couple of doses intermittent headaches and felt tired but kept on them.
Started with water infections, bad constipation resulting in internal bleeding and haemorrhoids, really tired and depressed caused by the constant headaches and joint pain so I'm giving up with them,",Stelara (ustekinumab) , Crohn's Disease
617,Stelara (ustekinumab) for Crohn's Disease,8.0,"Been on Stelara injections for 12 months. I didn't detect any problems until 5 months ago when I started losing my balance, got a virus in my mIddle ear and headaches and nausea.  Doctor suspects it is connected to Stelara - has anyone else experienced these symptoms.
Anyone else experienced this??",Stelara (ustekinumab) , Crohn's Disease
618,Stelara (ustekinumab) for Crohn's Disease,10.0,"I started with Humira when my disease was so horrible. I was in the hospital every month for two years and it never worked.  I’ve had 5 surgeries since 2016 and Stelara was a life saver for me. I started Stelara in the beginning of 2019 and I am still not in remission, getting close, but it definitely makes me feel better and I have no side effects. No bleeding, which was a serious problem for me. Maybe tired, but I am always tired!!  Stelara and my awesome GI doctor have saved my life.",Stelara (ustekinumab) , Crohn's Disease
634,For Crohn's Disease,10.0,"Wow. I have tried every medication from 6mp methotrexate humira infliximab vedolizumab etc.  all failed in the end and my latest try vedolizumab didn't work at all.
I was in a flare for 8 months my Consultant said the only option left was to remove my colon.  I have never been in so much pain and weight loss.  Then I got a call from the hospital saying the drug company was willing to offer me ustekinumab. It's not licensed in the UK yet for crohns so I wasn't sure.
But omg within 9 days of treatment  I've never felt so good .  I must admit in those 9 days when I never felt anything I thought it wasn't going to work then boom I woke up one day and felt amazing.   If you get offered this amazing drug just give it time and it will work wonders",, Crohn's Disease
636,Stelara (ustekinumab) for Ulcerative Colitis,10.0,"Ok, I have done Remicade, Humira, Imuran, prednisone, etc. Stelara took a few months to work and I had to be moved from every 8 weeks to 6 weeks, but once I moved to 6 weeks. I went into complete remission of my UC and HORRIFIC joint pain. I have currently been in remission and prednisone free for 8 months",Stelara (ustekinumab) , Ulcerative Colitis
639,Stelara (ustekinumab) for Crohn's Disease,2.0,"No side effects (only fatigue), but not working very well to control Crohn's flare-up.  Don't use this if you have severe active flare, you will not be able to control your disease. I'm switching to anti-tnf.",Stelara (ustekinumab) , Crohn's Disease
642,Stelara (ustekinumab) for Crohn's Disease,9.0,Stelara was a 1 star for the first 24 weeks. The waiting period was ridiculous. I just did my third at home injection so today puts my 32 weeks in I did not see any results until about 24 weeks on the medication. Stelara works  for crohn's you just have to give it time to work. Now we are starting to work on the dosing schedule to prevent flare ups around dosage time.,Stelara (ustekinumab) , Crohn's Disease
648,For Crohn's Disease,10.0,"I was diagnosed with crohn’s disease at age 22; I am currently 34. For 10 years my disease was unmanageable, and I suffered a great deal. I have tried every biologic, and every Crohn’s medication with no luck. Two years ago I began using Stelara, and this drug has saved my life and offered me a shot at remission. I did still flare for the first six months, but I have basically achieved a full remission. During my remission on Stelara  I was able to carry to term my first pregnancy; a true miracle that wouldn’t have been possible without this medication.  I decided to withhold my injection in the third trimester, and postpartum so I could breast feed. I am one and a half months postpartum, and I am developing a flare up so I will resume my injection. Me and baby are both healthy so far. I wanted to share my story because I know that I wasn’t able to find a similar account when I was looking for answers.",, Crohn's Disease
675,Stelara (ustekinumab) for Crohn's Disease,1.0,"I've had Crohn's for 30 years.  Tried Remicade, Humira, now Stelara.  The only thing it's doing is worsening my diarrhea.  Not helping the Crohn's, but day of treatment and for weeks after, diarrhea is greatly increased.  No other effects.  Would be a great medication for those with chronic constipation!",Stelara (ustekinumab) , Crohn's Disease
759,"Tysabri (natalizumab) for Crohn's Disease, Maintenance",3.0,"I accepted using tysabri then 5 days after infusion , I woke up with my right index finger swollen tender and weak.
In my eighty years never had any joint issue.
x ray negative .
Side effects show 19% of arthralgia with tysabri ,what I have it feels more than arthralgia.
Sam board certified in pediatrics and anesthesia .
did two different training.
I wish I said NO",Tysabri (natalizumab) ," Crohn's Disease, Maintenance"
